model,drinking_milk_prec,grooming_prec,lying_prec,running_prec,walking_prec,other_prec
ROCKET,0.5371664548919949,0.38276923076923075,0.9405929801613255,0.8979206049149339,0.2665350444225074,0.7729495598714545
ConvTran,0.5832699619771863,0.1130820399113082,0.926411149825784,0.8954372623574145,0.0,0.6031565369147887
fcn,0.7111307420494699,0.2176360225140713,0.9208690987124464,0.9853658536585366,0.6923076923076923,0.517693482688391
cnn,0.448,0.04294736842105263,0.8458511548331907,0.8938223938223938,0.14444444444444443,0.5882151714701104
inception,0.6985793699814701,0.687603305785124,0.9383238405207486,0.8315602836879432,0.5296296296296297,0.5851372461504128
twiesen,0.5913978494623656,0.0,0.7737837837837838,0.9417879417879418,0.0,0.6126503827925629
resnet,0.5915915915915916,0.19562043795620437,0.8834318629680158,0.937246963562753,0.5983935742971888,0.6344086021505376
encoder,0.6923931149361466,0.6736292428198434,0.9098143236074271,0.9212121212121213,0.6149425287356322,0.6148851939825811
mcnn,0.0,0.0,0.0,0.0,0.0,0.396758809502782
tlenet,0.0,0.0,0.0,0.0,0.0,0.396758809502782
mcdcnn,0.6905606813342796,0.39166666666666666,0.9170738148686122,0.9451219512195121,0.6,0.6147830087409907
mlp,0.5505102040816326,0.21366954213669542,0.902586903799515,0.9015444015444015,0.18664850136239783,0.5984769157544026
