model,drinking_milk_recall,grooming_recall,lying_recall,running_recall,walking_recall,other_recall
ROCKET,0.8161196911196911,0.6506276150627615,0.8839377176808031,0.9634888438133874,0.7142857142857143,0.6156928213689482
ConvTran,0.3701737451737452,0.053347280334728034,0.6809055521409547,0.9553752535496958,0.0,0.8846967167501392
fcn,0.3885135135135135,0.36401673640167365,0.3516697398074165,0.8194726166328601,0.11904761904761904,0.9052865887590429
cnn,0.4594594594594595,0.10669456066945607,0.5064535955746773,0.9391480730223124,0.03439153439153439,0.7654980523094046
inception,0.5458494208494209,0.4351464435146444,0.5906576521204672,0.9513184584178499,0.3783068783068783,0.8754590984974958
twiesen,0.026544401544401543,0.0,0.879840196681008,0.9188640973630832,0.0,0.7481357818586533
resnet,0.5704633204633205,0.4205020920502092,0.5970088096701496,0.9391480730223124,0.3941798941798942,0.7945464663327768
encoder,0.6018339768339769,0.2698744769874477,0.6675886088916205,0.9249492900608519,0.2830687830687831,0.8643294379521425
mcnn,0.0,0.0,0.0,0.0,0.0,1.0
tlenet,0.0,0.0,0.0,0.0,0.0,1.0
mcdcnn,0.46959459459459457,0.049163179916317995,0.7114320835894284,0.9432048681541582,0.015873015873015872,0.8923761825264329
mlp,0.5207528957528957,0.3368200836820084,0.6862323294406883,0.947261663286004,0.36243386243386244,0.6997217584863662
