model,drinking_milk_pre,drinking_milk_sen,drinking_milk_spe,drinking_milk_f1,grooming_pre,grooming_sen,grooming_spe,grooming_f1,lying_pre,lying_sen,lying_spe,lying_f1,running_pre,running_sen,running_spe,running_f1,walking_pre,walking_sen,walking_spe,walking_f1,other_pre,other_sen,other_spe,other_f1
ROCKET,0.5371664548919949,0.8161196911196911,0.9291824633031982,0.6478927203065133,0.38276923076923075,0.6506276150627615,0.9537574919317658,0.4819837272375048,0.9405929801613255,0.8839377176808031,0.9576994722135983,0.9113857203210816,0.8979206049149339,0.9634888438133874,0.9975624068974857,0.9295499021526419,0.2665350444225074,0.7142857142857143,0.9666337345069157,0.38820992092020135,0.7729495598714545,0.6156928213689482,0.8810482395139448,0.6854169247924669
ConvTran,0.5832699619771863,0.3701737451737452,0.9733644405560417,0.4529081783289047,0.1130820399113082,0.053347280334728034,0.9815583218072844,0.07249466950959489,0.926411149825784,0.6809055521409547,0.9590189382179447,0.7849087795949696,0.8954372623574145,0.9553752535496958,0.9975172662844761,0.9244357212953876,0.0,0.0,1.0,0.0,0.6031565369147887,0.8846967167501392,0.6171583339433424,0.717289297960657
fcn,0.7111307420494699,0.3885135135135135,0.984106153397492,0.5024968789013733,0.2176360225140713,0.36401673640167365,0.9423236514522821,0.27240704500978474,0.9208690987124464,0.3516697398074165,0.977103384042223,0.5089696071163825,0.9853658536585366,0.8194726166328601,0.9997291563219428,0.8947951273532669,0.6923076923076923,0.11904761904761904,0.9991018501886114,0.20316027088036118,0.517693482688391,0.9052865887590429,0.4452821901764146,0.658703486253391
cnn,0.448,0.4594594594594595,0.9429862933799942,0.4536573743149869,0.04294736842105263,0.10669456066945607,0.895205163669894,0.0612428700090063,0.8458511548331907,0.5064535955746773,0.9300683017696367,0.6335618632664829,0.8938223938223938,0.9391480730223124,0.9975172662844761,0.9159248269040553,0.14444444444444443,0.03439153439153439,0.9965421232261541,0.05555555555555556,0.5882151714701104,0.7654980523094046,0.6475367835443965,0.6652480897572299
inception,0.6985793699814701,0.5458494208494209,0.9762807426849421,0.6128420482254131,0.687603305785124,0.4351464435146444,0.9912863070539419,0.532991672005125,0.9383238405207486,0.5906576521204672,0.9705836696678051,0.7249638523920288,0.8315602836879432,0.9513184584178499,0.9957116417640951,0.8874172185430463,0.5296296296296297,0.3783068783068783,0.9942967486976828,0.441358024691358,0.5851372461504128,0.8754590984974958,0.5917575580118586,0.7014446227929374
twiesen,0.5913978494623656,0.026544401544401543,0.9981530086516963,0.050808314087759814,0.0,0.0,1.0,0.0,0.7737837837837838,0.879840196681008,0.805107109593294,0.8234109864825999,0.9417879417879418,0.9188640973630832,0.9987360628357334,0.9301848049281314,0.0,0.0,1.0,0.0,0.6126503827925629,0.7481357818586533,0.6888953956518556,0.6736483439394698
resnet,0.5915915915915916,0.5704633204633205,0.9603382910469525,0.5808353808353809,0.19562043795620437,0.4205020920502092,0.9237897648686031,0.2670209232813019,0.8834318629680158,0.5970088096701496,0.9403135672151506,0.7125129897915521,0.937246963562753,0.9391480730223124,0.9986006409967048,0.9381965552178319,0.5983935742971888,0.3941798941798942,0.9955092509430573,0.47527910685805425,0.6344086021505376,0.7945464663327768,0.6988507429909963,0.7055044964917482
encoder,0.6923931149361466,0.6018339768339769,0.9730728103431515,0.6439452620707462,0.6736292428198434,0.2698744769874477,0.9942369755647764,0.3853622106049291,0.9098143236074271,0.6675886088916205,0.9498602918348339,0.7701033973412114,0.9212121212121213,0.9249492900608519,0.9982395160926285,0.9230769230769231,0.6149425287356322,0.2830687830687831,0.9969911981318484,0.3876811594202898,0.6148851939825811,0.8643294379521425,0.6439499304589708,0.7185750636132315
mcnn,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.396758809502782,1.0,0.0,0.568113559482786
tlenet,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.396758809502782,1.0,0.0,0.568113559482786
mcdcnn,0.6905606813342796,0.46959459459459457,0.9788082045299893,0.5590347601264004,0.39166666666666666,0.049163179916317995,0.9966343937298294,0.08736059479553905,0.9170738148686122,0.7114320835894284,0.9512573734864949,0.8012691087395444,0.9451219512195121,0.9432048681541582,0.9987812034487429,0.9441624365482232,0.6,0.015873015873015872,0.9998203700377223,0.030927835051546386,0.6147830087409907,0.8923761825264329,0.6322377571188054,0.7280156171970764
mlp,0.5505102040816326,0.5207528957528957,0.9571789637406435,0.535218253968254,0.21366954213669542,0.3368200836820084,0.9453665283540802,0.2614697523345514,0.902586903799515,0.6862323294406883,0.9438838869916175,0.7796787709497206,0.9015444015444015,0.947261663286004,0.9976978287365142,0.9238377843719089,0.18664850136239783,0.36243386243386244,0.9731902281300521,0.24640287769784172,0.5984769157544026,0.6997217584863662,0.6912378303198887,0.6451513596716265
